id,location,longtitude,latitude,route,area
237673487,Hong_Kong_Convention_and_Exhibition_Centre,22.2820613991,114.1717830408,Convention Avenue,Wan Chai
214488576,Central_District_Hong_Kong,22.2833,114.15,Bridges Street,Tai Ping Shan
213512017,Sky_Terrace_428_The_Peak_Hong_Kong_Site,22.2712335972,114.1501356917,Peak Road,The Peak
228406210,Hong_Kong_Victoria_Peak,22.2710040142,114.1500867088,Peak Road,The Peak
17574196,Times_Square_Hong_Kong,22.2786811903,114.1822857077,Russell Street,Bowrington
235386997,PMQ_,22.2833498094,114.1520513599,Aberdeen Street,Central
1286667968120188,Victoria_Harbour_Hong_Kong,22.2833,114.15,Bridges Street,Tai Ping Shan
10338634,Causeway_Bay,22.2805406431,114.1850508506,Great George Street,Causeway Bay
214376515,Causeway_Bay_,22.2802281037,114.1835930819,Hennessy Road,Causeway Bay
617229129,The_Hong_Kong_Victoria_Peak_,22.2700667216,114.1497590335,Peak Road,The Peak
213145970,Victoria_Harbour,22.2877527778,114.1736194444,Expo Drive,None
213164255,Avenue_of_Stars_Hong_Kong,22.2931,114.175,Salisbury Road,Tsim Sha Tsui
211372268,Victoria_Park_Hong_Kong,22.2817166667,114.1889138889,Jogging Trail,Causeway Bay
213767759,The_Hong_Kong_Polytechnic_University,22.3035793395,114.1794295237,Yuk Choi Road,Hung Hom Bay
337250781,Wan_Chai_District,22.2796805556,114.1716805556,Gloucester Road,Wan Chai
20529,_Hong_Kong_Coliseum,22.3011665,114.1818896,Cheong Wan Road,Hung Hom Bay
217564739,_Mongkok_Hongkong,22.3183918958,114.1701054621,Nathan Road,Mong Kok
743061412,Mongkok_Hong_Kong,22.3199661271,114.1696458832,Nathan Road,Mong Kok
215799617,Hong_Kong_Coliseum,22.3014239297,114.181974798,Cheong Wan Road,Hung Hom Bay
13779393,Mong_Kok_Hong_Kong,22.3200565193,114.1700988109,Sai Yeung Choi Street South,Mong Kok
226651495,Victoria_Peak,22.2754694444,114.1438277778,Mount Austin Road,The Peak
3002420,Victoria_Park_,22.2816114757,114.18871778,Hing Fat Street,Causeway Bay
703662331,HappyHappyBirthday,22.30924,114.22453,Hing Yip Street,Kwun Tong
214839221,Sheung_Wan_Hong_Kong,22.2876169166,114.1512768914,Connaught Road Central,Sheung Wan
214356763,Grand_Hyatt_Hong_Kong,22.2811941458,114.172115922,Harbour Road,Wan Chai
377816454,D2_Place,22.3360689834,114.1486626863,Cheung Yee Street,Cheung Sha Wan
214218626,Hong_Kong_Macau_Ferry_Terminal,22.28937222,114.15215278,Connaught Road Central,Sheung Wan
2440895,Hong_Kong_Baptist_University_,22.3384507839,114.1811480648,Renfrew Road,Kowloon Tsai
703629436462521,Causeway_Bay_Hong_Kong,22.2795620003,114.1833900517,Lee Garden Road,Causeway Bay
240040007,Soho_Central_HK,22.2822422115,114.1528517365,Graham Street,Central
340056234,Kai_Tak_Cruise_Terminal,22.30749,114.21285,Shing Fung Road,Kai Tak
127578221239566,Mongkok_Hongkong,22.3200565193,114.1700988109,Sai Yeung Choi Street South,Mong Kok
213577447,SOGO_Hong_Kong_,22.28031,114.18412,Hennessy Road,Causeway Bay
12467536,Hotel_ICON,22.3004725245,114.1797065735,Science Museum Road,Tsim Sha Tsui East
611395451,The_Peak_,22.270860613,114.1498254975,Peak Road,The Peak
214743110,Cordis_Hong_Kong_,22.3184143035,114.1685874406,Argyle Street,Mong Kok
234726015,The_Peak_Tower_The_Peak_Hong_Kong_Site,22.2709987554,114.1499681647,Peak Road,The Peak
244921801,Happy_Valley_Racecourse,22.2723244502,114.1815876689,Wong Nai Chung Road,Happy Valley
359052843,Sha_Tin_Hong_Kong,22.3833,114.183,Pak Lok Path,Tai Wai
235890114,Mongkok_Hongkong,22.3190641755,114.1692554081,Nathan Road,Mong Kok
219069774,The_Peak_Tram_The_Peak_Hong_Kong_Site,22.2711781947,114.1501060029,Peak Road,The Peak
225318838,Man_Mo_Temple,22.2842785431,114.1503104375,Upper Lascar Row,Tai Ping Shan
268882955,Art_Basel_Hong_Kong,22.2825284011,114.1722362572,Expo Drive,Wan Chai
4066000,MegaBox,22.3205400072,114.2083732888,Wang Chiu Road,Kowloon Bay
10160326,Kowloon_Shangri_La_Hong_Kong,22.2973213815,114.1769040615,Mody Road,Tsim Sha Tsui East
981641771933827,Kerry_Hotel_Hong_Kong,22.3013306675,114.1888570407,Hung Luen Road,Hung Hom
213139185,Langham_Place_,22.3188,114.16841,Argyle Street,Mong Kok
94798,The_Peak_Galleria_,22.2706926586,114.1498326979,Peak Road,The Peak
214918931,Ten_Thousand_Buddhas_Monastery,22.3865480165,114.1860730599,Pai Tau Street,Sha Tin
219792060,_Mongkok_Langham_Place,22.3184681047,114.1685317825,Argyle Street,Mong Kok
759085,Hong_Kong_Convention_And_Exhibition_Centre_,22.2819293457,114.172538898,Expo Drive,Wan Chai
792901392,Mongkok,22.3184042398,114.1701768909,Nathan Road,Mong Kok
1200667370043195,Madame_Tussauds_Hong_Kong,22.2712499,114.14981,Peak Road,The Peak
493027450,MOKO_,22.32408,114.17312,Prince Edward Road West,Kadoorie Hill
217465578,_Olympian_City,22.3172894609,114.1617264797,Hoi Ting Road,West Kowloon
123791511,Via_Tokyo,22.2796652625,114.1837406158,Hennessy Road,Causeway Bay
222563274,Sham_Shui_Po_Hong_Kong,22.3333,114.15,Hing Wah Street West,Cheung Sha Wan
7342738,Harbour_Grand_Kowloon,22.3025838946,114.1922555751,Tak Fung Street,Hung Hom
81154,_Kwun_Tong_Promenade,22.3103397,114.2191937,Hoi Bun Road,Kwun Tong
751096453,_Mong_Kok,22.3165826102,114.1707577183,Soy Street,Mong Kok
628334599,_,22.2863096828,114.1507143494,Wing Lok Street,Sheung Wan
1014288853,MacPherson_Stadium_,22.3186371545,114.1724395548,Nelson Street,Mong Kok
213318401,_Victoria_Peak,22.2710219996,114.1499745808,Peak Road,The Peak
841813943,Cityplaza_Hong_Kong,22.2866840888,114.2173647881,Tai Koo Shing Road,Taikoo Shing
220943830,Mid_Levels_Hong_Kong,22.2810115138,114.1497413856,Robinson Road,Mid-level
236756472,_,22.3349183008,114.1633439269,Tai Po Road,Pak Tin
331377,Quarry_Bay_,22.288905406,114.2100332547,King's Road,Quarry Bay
422637523,Dragon_Centre_,22.33096,114.15992,Yen Chow Street,Sham Shui Po
214328485,EMax_,22.3238,114.20379,Trademart Drive,Kowloon Bay
225024,_Kam_Wah_Cafe,22.3222052367,114.1696285,Bute Street,Mong Kok
439235781,Lee_Tung_Street,22.2756,114.172,Queen's Road East,Wan Chai
165430667357536,_,22.3182957,114.1686796,Argyle Street,Mong Kok
218606134,Kwun_Tong_Hong_Kong,22.3167,114.217,Ting On Street,Ngau Tau Kok
8034,Telford_Plaza_,22.3227200302,114.2133459507,Wai Yip Street,Kowloon Bay
214164831,Hong_Kong_Science_Museum,22.3011470318,114.1772896507,Science Museum Road,Tsim Sha Tsui East
214254792,Mongkok_Ladies_Market_Hongkong,22.3179451183,114.1706213782,Tung Choi Street,Mong Kok
238834425,Kowloonbay_International_Trade_Exhibition_Centre,22.3239,114.204,Trademart Drive,Kowloon Bay
215759419,Hong_Kong_Museum_of_History,22.30159,114.17711,Chatham Road South,Tsim Sha Tsui East
215087857,Happy_Valley_Hong_Kong,22.2676,114.1855,Shan Kwong Road,Happy Valley
216461659,Hollywood_Road_Hong_kong,22.2854731865,114.148687747,Hollywood Road,Tai Ping Shan
210799523,_Madame_Tussauds_Hong_Kong,22.27131769,114.1499422379,Peak Road,The Peak
62985385,_,22.2791805,114.1860886,Jardine's Bazaar,Causeway Bay
1035606448,Omotesando_Koffee_Hong_Kong,22.275714437,114.1723505975,Queen's Road East,Wan Chai
490329866,Causewaybay_Hk,22.2812354791,114.185449279,Paterson Street,Causeway Bay
7780056,teakha_,22.28451,114.14843,Tai Ping Shan Street,Tai Ping Shan
11550,InterContinental_Grand_Stanford_Hong_Kong,22.2990202694,114.1791060965,Mody Road,Tsim Sha Tsui East
879813,Langham_Place_,22.3188,114.16841,Argyle Street,Mong Kok
228359844,Yau_Ma_Tei_Hong_Kong,22.3112330459,114.1706891864,Nathan Road,Yau Ma Tei
248084785,New_Town_Plaza,22.381947,114.188309,Sha Tin Centre Street,Sha Tin
213732069,Lee_Gardens,22.279607948,114.1839800178,Hennessy Road,Causeway Bay
611207472,Central_Hong_Kong,22.2833,114.15,Bridges Street,Tai Ping Shan
739247233,Lady_M_Hong_Kong,22.3167,114.2,None,None
236247686,Avenue_Of_Stars_Tsim_Sha_Tsui,22.2956657864,114.1762302492,Salisbury Road,Tsim Sha Tsui East
942903539,Hong_Kong_Times_Square,22.2784901,114.1823425,Matheson Street,Causeway Bay
237202023,The_Peak_Hong_Kong,22.2714137769,114.1499113255,Peak Road,The Peak
215698377,The_Royal_Garden_,22.2983754928,114.1777317899,Mody Road,Tsim Sha Tsui East
620528742,Taikoo_Place,22.2867330905,114.212244247,King's Road,Quarry Bay
113958,_Sing_Heung_Yuen,22.2841798478,114.15255247,Gough Street,Central
310120967,Jamies_Italian_Hong_Kong,22.2789,114.18239,Russell Street,Bowrington
414049518,New_Town_Plaza_,22.381096178,114.1881930828,Sha Tin Centre Street,Sha Tin
214885488,Queen_Elizabeth_Stadium,22.275431118,114.1789282138,Oi Kwan Road,Wan Chai
265846919,Tsim_Sha_Tsui_East_Ferry_Pier,22.2976,114.177,Mody Road,Tsim Sha Tsui East
212956023,The_Peak,22.270988188,114.1500682014,Peak Road,The Peak
215688084,Renaissance_Harbour_View_Hotel_Hong_Kong,22.2814059684,114.1737820057,Harbour Road,Wan Chai
331600190642713,Victoria_Peak,22.2711891557,114.150099102,Peak Road,The Peak
1020637722,Lee_Tung_Avenue_,22.2760155625,114.1723696106,Queen's Road East,Wan Chai
1020637722,Lee_Tung_Avenue_,22.2760155625,114.1723696106,Queen's Road East,Wan Chai
316747136,_Kams_Roast_Goose,22.2777405,114.1753082,Hennessy Road,Wan Chai
638244992,Wanchai_Hongkong,22.2782238975,114.1770888706,Hennessy Road,Wan Chai
525982944,_,22.28049,114.18137,Jaffe Road,Bowrington
6941526,_Hysan_Place,22.28,114.18335,Jaffe Road,Causeway Bay
768639777,_,22.3180573612,114.1702172609,Shantung Street,Mong Kok
24154,Taikoo_Shing_,22.2862995623,114.2183062019,Tai Koo Shing Road,Taikoo Shing
878955962233899,Garden_of_Star_at_Hongkong,22.2962495351,114.1760276411,Salisbury Road,Tsim Sha Tsui East
1741395636149533,_Yamataka_Seafood_Market_Hong_Kong,22.2834675842,114.1761875153,Tsim Sha Tsui: Kowloon Point Ferry Piers - Wan Chai Ferry Pier,Wan Chai
1019061009,_,22.2667,114.183,Village Terrace,Happy Valley
12692,Mongkok_,22.3184370479,114.169885172,Nathan Road,Mong Kok
942139461,The_Park_Lane_Hong_Kong_a_Pullman_Hotel_,22.28122,114.18658,Gloucester Road,Causeway Bay
159753984,La_Vache,22.282641658,114.1527505831,Hollywood Road,Central
8075253,Fashion_Walk,22.2803993,114.1851425,Great George Street,Causeway Bay
214136148,Quarry_Bay,22.2890720876,114.2118067584,Hoi Chak Street,Quarry Bay
1747904125470644,_Big_Bang_Don,22.31672,114.17136,Soy Street,Mong Kok
222061603,_Ichiran,22.2806506888,114.1813559723,Gloucester Road,Bowrington
26728164,_,22.2844047866,114.1533606907,Wellington Street,Central
234941297,Kwai_Chung_Plaza,22.357816237,114.127748788,Kwai Foo Road,Kwai Fong
57918,BurgeRoom,22.281867101,114.1853673346,Paterson Street,Causeway Bay
1008994799,YUM_CHA_HK_,22.2785905667,114.181817472,Russell Street,Bowrington
222032246,Taikoo_Shing,22.2863,114.218,Tai Koo Shing Road,Taikoo Shing
134031867,HeSheEat,22.3174487436,114.1728755977,Hak Po Street,Mong Kok
221974259,HONG_KONG_FOOTBALL_CLUB,22.2748980098,114.1818484143,Sports Road,Happy Valley
221974259,HONG_KONG_FOOTBALL_CLUB,22.2748980098,114.1818484143,Sports Road,Happy Valley
107866688,_Kai_Tak_Cruise_Terminal,22.3063126252,114.2136583333,Shing Fung Road,Kowloon Bay
1009813729,VEA_Restaurant_Lounge,22.2851087812,114.1533289962,Queen's Road Central,Sheung Wan
317809691669701,_New_Beginning_Live,22.3011763115,114.1814149731,Cheong Wan Road,Hung Hom Bay
12774484,Quinary,22.2827091,114.1528702,Hollywood Road,Central
235470482,Yardbird,22.2835730064,114.1502593146,Bridges Street,Tai Ping Shan
345210854,ATUM_Desserant,22.2803,114.18169,Lockhart Road,Causeway Bay
214074604,EAST_Hong_Kong,22.2860844144,114.2161457496,Tai Koo Shing Road,Quarry Bay
273350733,Rest_in_Peace,22.279154,114.1847753,Yun Ping Road,Causeway Bay
330660159,Seasons_French_Restaurant,22.2785892,114.1855774,Yun Ping Road,Causeway Bay
213540395,_Windsor_House,22.280619001,114.1864143772,Gloucester Road,Causeway Bay
8424,Plaza_Hollywood_,22.34014755,114.2020224264,Lung Poon Street,Tai Hom
339120397,Oddies_Foodies,22.28443,114.15196,Gough Street,Central
16308,Metroplaza_,22.3575545798,114.1270925163,Hing Fong Road,Kwai Fong
259240097882797,Soho_,22.2810926619,114.1533199946,Old Bailey Street,Central
212999563,The_Excelsior_Hong_Kong_,22.2817708,114.1844419,Gloucester Road,Causeway Bay
576911,Kowloon_City_,22.331360033,114.1886973381,Carpenter Road,Kowloon City
214493842,_Causeway_Place,22.28035273,114.185173041,Great George Street,Causeway Bay
217440684,Harbour_Plaza_Metropolis_,22.30144,114.18345,Metropolis Drive,Hung Hom Bay
213512849,The_Market_at_Hotel_ICON,22.3004335825,114.1796356725,Science Museum Road,Tsim Sha Tsui East
577060983,Bedrex,22.2999662777,114.1759836674,Chatham Road South,Tsim Sha Tsui
70838049,_,22.301417,114.1820305,Cheong Wan Road,Hung Hom Bay
313787349049962,Hysan_Place_,22.2798407753,114.1839734371,Hennessy Road,Causeway Bay
28833,Inn_side_out,22.2776427459,114.1854025281,Sunning Road,Causeway Bay
312986653,Hysan_Place,22.2798,114.184,Hennessy Road,Causeway Bay
290482214,Ho_Lee_Fook,22.2830425327,114.1526453693,Elgin Street,Central
1018747722,Shatin_Centre_Shatin_Plaza_,22.3815415479,114.1889497402,Sha Tin Centre Street,Sha Tin
214064512,Wan_Chai_Sports_Ground,22.281288,114.178022,Tonnochy Road,Wan Chai
1752110145032797,Lady_M_Fashion_Walk,22.28184,114.18568,Cleveland Street,Causeway Bay
247005201,SHARI_SHARI_Kakigori_House_,22.2780209,114.1867218,Leighton Road,So Kon Po
1375902329197540,Flippers,22.2795226212,114.1840043504,Hennessy Road,Causeway Bay
1003067095,_,22.31715,114.17268,Soy Street,Mong Kok
265558634,Kowloon_Bay,22.3166666667,114.2,None,None
258682990,Aberdeen_Street_Social,22.2832302263,114.1520976753,Aberdeen Street,Central
431426513,_Seoul_Incheon_International_Airport,22.2833,114.15,Bridges Street,Tai Ping Shan
226203050,_,22.2825001611,114.1724888208,Expo Drive,Wan Chai
