id,location,longtitude,latitude,route,area
221674386,Tula_Russia,54.1839,37.5974,улица Первомайская,Советский район
277658809,Тульский_кремль,54.1952705901,37.6199338032,Менделеевская улица,Центральный район
2813155,ЦПКиО_им_Белоусова,54.1813728371,37.5906670337,Первомайская улица,Советский район
498397486,г_Тула,54.1922748175,37.6171886848,улица Советская,Центральный район
441651830,Город_Тула,54.2098563554,37.6208763602,улица Октябрьская,Зареченский район
1031001194,Трц_макси,54.1922819673,37.6391785811,Пролетарская набережная,Пролетарский район
1210536975718297,Искра_Новое_городское_пространство,54.1986379338,37.6119410992,улица Советская,Центральный район
477460967,Пряности_И_Радости_Тула,54.2030567326,37.6180591792,улица Октябрьская,Зареченский район
224188337,Центральный_Парк_Г_Тулы,54.1759359,37.5965288,проспект Ленина,Советский район
267501321,Arsenal_Stadium_Tula_,54.174167,37.603056,проспект Ленина,Центральный район
419438004,Клуб_Ресторан_Пряник,54.1923330896,37.619159714,улица Советская,Центральный район
500699439,Тула_Центральный_Парк_Имени_Белоусова,54.1837567869,37.6073286906,улица Льва Толстого,Центральный район
993325342,Тульский_государственный_музей_оружия,54.1951111111,37.6211666667,Менделеевская улица,Центральный район
217270037,Площадь_Ленина_г_Тула,54.1932432647,37.6182402748,Менделеевская улица,Центральный район
12991427,ТРЦ_Гостиный_Двор,54.19215,37.61799,улица Советская,Центральный район
757041318,Тульский_Кремль,54.19262,37.62177,Менделеевская улица,Центральный район
419405540,SK_Royal_Hotel_Tula,54.19385,37.61288,улица Советская,Центральный район
14966070,Ресторан_пивоварня_Пётр_Петрович,54.1846916875,37.5935774036,улица Первомайская,Советский район
499204277,Г_Тула_Ул_Пузакова,54.21493842,37.605990565,улица М Горького,Зареченский район
211583862700207,ТРЦ_Гостиный_Двор,54.19215,37.61799,улица Советская,Центральный район
269145094,Музей_Оружия_Октябрьская_Ул_Тула,54.2042199843,37.6165405297,улица Октябрьская,Зареченский район
345786232844161,Тула_Россия,54.1988951932,37.6027918381,улица Лейтейзена,Советский район
458966097819396,Площадь_Ленина_Тула_Россия,54.19298,37.6179,Менделеевская улица,Центральный район
520498946,Тула_Город_Герой,54.2169318349,37.6242434699,улица Октябрьская,Зареченский район
1026375152,Tula_Kremlin,54.1952777778,37.62,Менделеевская улица,Центральный район
1032671040,Тула_Красноармейский,54.19761,37.60264,Красноармейский проспект,Советский район
442646388,Ресторан_Респект,54.19929,37.61409,улица Советская,Центральный район
825509993,Ресторан_Гости,54.191608858,37.601578738,улица Лейтейзена,Советский район
408097642,Stechkin_Bar,54.1759669307,37.599311475,проспект Ленина,Центральный район
1145998,Тульский_Кремль,54.1938994664,37.6172989594,проспект Ленина,Центральный район
3431880,ТЦ_РИО,54.1994097604,37.6364447184,улица Пролетарская,Пролетарский район
507420720,Городской_Концертный,54.199973326,37.6128759721,улица Советская,Советский район
1784894085135393,Ликёрка_Лофт,54.17542,37.59886,проспект Ленина,Центральный район
675700185,Тульский_академический_театр_драмы,54.18844,37.6097899,проспект Ленина,Советский район
1019212470,Harats_Pub_Тула,54.19736,37.59362,Красноармейский проспект,Советский район
874917102670503,Тульский_Государственный_Цирк,54.18961,37.62621,улица Советская,Центральный район
270017957,Центральный_парк_им_Белоусова,54.18218517,37.5916829148,Первомайская улица,Советский район
567001126,Москва_Парк_Сокольники,54.18642106,37.5924360017,улица Фрунзе,Советский район
974713077,Ресторан_Public,54.19237,37.59968,улица Демонстрации,Советский район
9275473,Мята_Еда_И_Танцы,54.1898951777,37.6101930483,улица Каминского,Советский район
1034951163,Великий_Гэтсби_бар_караоке,54.19094,37.61907,Тургеневская улица,Центральный район
521496795,Ресторанный_комплекс_Forest,54.18504,37.62704,улица Староникитская,Центральный район
108536019865142,Барвиха_Lounge_Тула,54.17518,37.5985299,проспект Ленина,Центральный район
886341352,Мята_Lounge_Кальянная,54.1886643919,37.6121062796,проспект Ленина,Советский район
2003489433219119,Творческий_индустриальный_кластер_Октава_,54.19073,37.61163,улица Каминского,Советский район
1192650434169610,МаМа_МИА,54.19719,37.59571,Красноармейский проспект,Советский район
415329476,Парк_Культуры_Имени_Белоусова,54.1798776923,37.5911341687,None,Советский район
1002161416,Дом_15,54.19135,37.61319,улица Каминского,Советский район
498895702,Пивоварня_Августин,54.17883224,37.598346052,улица Жаворонкова,Советский район
506131477,LoftHall,54.17542,37.59886,проспект Ленина,Центральный район
759874233,Другое_дело,54.1918114644,37.6189577288,улица Советская,Центральный район
362990657158286,MR_CUP_на_Советской,54.19257,37.61471,улица Советская,Советский район
1020726552,Гастрономический_паб_Правда,54.19726,37.60374,Красноармейский проспект,Советский район
1015293862,Ресторан_Большой_Кремлевский,54.1960207081,37.6196980476,Менделеевская улица,Центральный район
498417236,ТЦ_Сарафан,54.1976277,37.5818243,улица Путейская,Привокзальный район
140297016742497,Ликерка,54.17518,37.59853,проспект Ленина,Центральный район
13853079,Fusion,54.1902939494,37.6122143924,Центральный переулок,Советский район
498130293,Реалити_квест_ВЫХОД_Тула,54.19745,37.58338,улица Дмитрия Ульянова,Привокзальный район
498485210,Музей_Тульский_Кремль,54.1950998067,37.619903358,Менделеевская улица,Центральный район
61168164,Киносити,54.1919962393,37.618553091,улица Советская,Центральный район
1014290090,Ледовая_арена_Тропик,54.1708875802,37.6156210375,улица Демьянова,Центральный район
404956365,Тульская_Филармония,54.185671371,37.6098608303,проспект Ленина,Центральный район
1020470175,ТРЦ_РИО,54.1993157494,37.6365637779,улица Пролетарская,Пролетарский район
1032258417,Тула_Пролетарская_Улица_2_Трц_макси,54.19256,37.6327,улица река Люксембург,Пролетарский район
693888910,Ресторан_Сударь_Тула,54.2061755084,37.61630317,Демидовская улица,Зареченский район
266438700673282,Тула_Кремль,54.192531,37.62322,Менделеевская улица,Центральный район
354470995,Клуб_Облака,54.1906980221,37.6185578995,Тургеневская улица,Центральный район
963002751,Дворец_Культуры_Железнодорожников,54.19128,37.58251,улица Демонстрации,Привокзальный район
229223789,Тула_Ясная_Поляна,54.1978680633,37.5932089233,Красноармейский проспект,Советский район
293685838,Гостиница_Армения_Тула,54.1924991212,37.6179273911,улица Советская,Центральный район
114905715708373,Башня_ресторан_пивоварня,54.1975835318,37.6023817062,Красноармейский проспект,Советский район
501409582,Кофе_Культ,54.182379581,37.6051497459,проспект Ленина,Советский район
475016809,Гостиный_Двор,54.17163593,37.59873089,улица Академика Обручева,Центральный район
409057227,Городской_Кремлевский_Сад_Тула,54.1944621423,37.6192201292,Менделеевская улица,Центральный район
662779810,Тула_Ул_фрунзе,54.2008213267,37.5856491834,улица Федора Смирнова,Советский район
453689454,МАРК_и_ЛЕВ,54.2,37.6167,улица Металлистов,Центральный район
5887576,Премьер,54.1768315837,37.5942810595,улица Ф. Энгельса,Советский район
6400016,Правительство_Тульской_Области,54.1930244,37.6170815,площадь Ленина,Центральный район
510587853,Музей_Самоваров,54.1945017625,37.6189577579,Менделеевская улица,Центральный район
1007438564,Тула,54.1979485,37.6088409,улица Сойфера,Советский район
164829820916060,ТЕМА_Eat_Drink_Dance,54.1903149582,37.6148915291,проспект Ленина,Центральный район
1786436491591989,Кофе_Культ_на_Красноармейском,54.19637,37.60386,Красноармейский проспект,Советский район
12290979,Тульский_Государственный_Музей_Оружия,54.2042373529,37.6169173848,улица Октябрьская,Зареченский район
1018604961,The_TRUMP,54.1836014,37.5714684,улица Радищева,Советский район
465737099,Дворянское_Собрание,54.1853758878,37.6081956244,проспект Ленина,Советский район
954694051,Кинотеатр_Октябрь_Тула,54.19761,37.60264,Красноармейский проспект,Советский район
865900383,Россия,54.17309828,37.5878214334,улица Оружейная,Советский район
500672092,Г_Тула_Ул_Марата,54.19741253,37.64295218,улица Епифанская,Пролетарский район
716878733,Арсенал_стадион_Тула_,54.1746681428,37.6024714305,проспект Ленина,Центральный район
305154940297508,Казанская_Набережная,54.196117,37.62291,None,Центральный район
501622326,Спортклуб_Властелин,54.2012305251,37.5964756898,улица Коминтерна,Советский район
1783567785263584,Drova,54.19994,37.63624,улица Пролетарская,Пролетарский район
363819577324424,Синема_Парк_Макси_Тула,54.1933447716,37.6360778363,улица Пролетарская,Пролетарский район
224195511,Ресторан_Славянский,54.18504,37.62704,улица Староникитская,Центральный район
1018930516,Ворота_Солнца_Бар_и_Еда_,54.1758242126,37.6001501083,проспект Ленина,Центральный район
410333976,Пряник,54.19215,37.61799,улица Советская,Центральный район
139218726571987,GRP_Sweet_Concept_Store,54.1753971986,37.5992274284,проспект Ленина,Центральный район
12465415,ТЦ_Тройка,54.1919939127,37.6142471284,улица Советская,Советский район
264189824,Hardy_Bar,54.1772829932,37.6007053104,проспект Ленина,Центральный район
270018696776398,Типография,54.17519,37.59206,улица Ф. Энгельса,Советский район
1053106324868428,Yasnaya_Polyana,54.2049951562,37.618432045,улица Октябрьская,Зареченский район
199255230685100,Культура,54.1985124111,37.6124989986,улица Советская,Центральный район
3742528,Тц_утюг,54.19269316,37.61253715,улица Демонстрации,Советский район
331825643831247,Спортзал_Хулиган,54.17985,37.60384,проспект Ленина,Центральный район
52081627,Тульский_Цирк,54.1897562671,37.6259583235,улица Советская,Центральный район
501942292,Спортивный_Клуб_Олимп,54.1958143002,37.6034872951,Красноармейский проспект,Советский район
888309434,Free_Form_White_Loft,54.1763117026,37.6002456749,проспект Ленина,Центральный район
943728132,Белоусовский_парк,54.1850395,37.5868301,Первомайская улица,Советский район
648245521991666,ТК_Парадиз,54.19127,37.6162599,проспект Ленина,Центральный район
1288888677871999,Vesna_Бар_Ресторан_GinzaProject,54.20255,37.6233,улица Галкина,Зареченский район
61736943,Тарелка,54.1917703361,37.6191448666,Тургеневская улица,Центральный район
1021565670,Кофейня_Сова,54.19694,37.60469,Красноармейский проспект,Советский район
584846024,Mamamia,54.1973262258,37.5958024172,Красноармейский проспект,Советский район
488755790,Фотостудия_Библиотека,54.20947,37.61689,Демидовская улица,Зареченский район
1809661172584333,Тула_Советская,54.19139,37.61957,улица Советская,Центральный район
1779397385435440,WELL_WELL_WELL_kitchen_wine_bar,54.1763014584,37.6004719734,проспект Ленина,Центральный район
478802088,Городской_Концертный_зал,54.20025,37.61215,улица Советская,Советский район
224040495,Г_Тула_Кремль,54.1938994664,37.6172989594,проспект Ленина,Центральный район
1063270207113841,Тула_Платоновский_Парк,54.1735248,37.5875865,улица Оружейная,Советский район
501516836,Парк_Им_Белоусова,54.19736031,37.60286664,Красноармейский проспект,Советский район
349774378735026,MR_CUP_на_Советской,54.19257,37.61471,улица Советская,Советский район
852291521647564,Likerka_Loft,54.1802814154,37.6047565732,улица Первомайская,Центральный район
748854044,Глобус_в_Туле,54.1716095327,37.59874056,улица Академика Обручева,Центральный район
112158849409473,Rob_Roy_Bar_Tula,54.17481,37.59832,проспект Ленина,Центральный район
410443554,Ingate_New_Office,54.1899101701,37.6189957476,улица Жуковского,Центральный район
498699351,Дк_Машзавод,54.20947,37.61689,Демидовская улица,Зареченский район
577037176,Хомяково,54.1716114901,37.5986862501,улица Академика Обручева,Центральный район
4507579,Чайхона_Изюм,54.18872,37.61219,проспект Ленина,Советский район
577062524,Check_In_BAR,54.19385,37.6128799,улица Советская,Центральный район
1029714272,Мама_Мия_Тула,54.2064669214,37.6191981414,улица Октябрьская,Зареченский район
213565581,Тульский_государственный_музей_оружия,54.2040503001,37.6162037886,Оружейный переулок,Зареченский район
1022853525,Хинкальная_Генацвале,54.1965923012,37.6046877545,Красноармейский проспект,Советский район
522427264,Октава,54.19113617,37.61098503,улица Ф. Энгельса,Советский район
229179796,Кафе_Город,54.19616,37.60775,Красноармейский проспект,Советский район
