wiki_name,lat,lon,views,suburb,roads
East Side Gallery,52.503055555556,13.444722222222,124926,Fhain,Mühlenstraße
Brandenburg Gate,52.51627222222201,13.377722222222,592225,Mitte,Pariser Platz
Berlin Cathedral,52.519166666667005,13.401111111111,100669,Mitte,Am Lustgarten
Kreuzberg,52.4875,13.383333333333,94047,Kreuzberg,Methfesselstraße
Mitte,52.51666666666701,13.366666666667,51439,Tiergarten,Große Querallee
Berlin,52.51666666666701,13.388888888889001,1879885,Mitte,Friedrichstraße
Memorial to the Murdered Jews of Europe,52.513888888889,13.378888888889,337363,Mitte,Cora-Berliner-Straße
Berlin Wall,52.51611,13.37694,2574641,Mitte,Ebertstraße
Friedrichshain-Kreuzberg,52.5,13.45,19390,Kreuzberg,Schlesische Straße
Potsdamer Platz,52.5094,13.3765,119613,Tiergarten,Potsdamer Platz
Checkpoint Charlie,52.5075,13.390270000000001,386808,Mitte,Friedrichstraße
Mercedes-Benz Arena (Berlin),52.505555555556,13.443333333333001,67963,Fhain,
Berlin Zoological Garden,52.508333333333,13.3375,64648,Charlottenburg,Hardenbergplatz
Berlin Hauptbahnhof,52.524930000000005,13.369181,99538,Moabit,Tunnel Tiergarten Spreebogen
Gendarmenmarkt,52.513611111111004,13.392777777778,44959,Mitte,
Fernsehturm Berlin,52.520833333332995,13.409444444444,163664,Mitte,Panoramastraße
Friedrichshain,52.515833333333,13.454166666667,46467,Fhain,Karl-Marx-Allee
Reichstag dome,52.518611111111,13.376111111111,756577,Tiergarten,Platz der Republik
"Jewish Museum, Berlin",52.501999999999995,13.395,62533,Kreuzberg,Lindenstraße
Reichstag building,52.5186,13.3763,393733,Tiergarten,Platz der Republik
Museum Island,52.521388888889,13.395555555556,114663,Mitte,Bodestraße
Berlin Potsdamer Platz station,52.509444444444,13.375833333333,9958,Tiergarten,
Hamburger Bahnhof,52.528333333332995,13.372222222222,19608,Moabit,Invalidenstraße
Kaufhaus des Westens,52.501666666667006,13.341111111111,55818,Schöneberg,Tauentzienstraße
Pergamon Museum,52.521,13.395999999999999,157339,Mitte,Am Kupfergraben
"Tiergarten, Berlin",52.51666666666701,13.366666666667,26299,Tiergarten,Große Querallee
Berghain,52.511111111111,13.443055555555999,245807,Fhain,Am Wriezener Bahnhof
Mall of Berlin,52.51,13.3798,12129,Mitte,Leipziger Platz
Tempelhof-Schöneberg,52.466666666667,13.383333333333,12548,Tempelhof,Borussiastraße
Hackescher Markt,52.523333333333,13.402777777778,21364,Mitte,
Berlin Victory Column,52.514444444443996,13.35,105435,Tiergarten,Großer Stern
Prenzlauer Berg,52.539166666667,13.424166666666999,50057,Prenzlauer Berg,Prenzlauer Allee
Hackesche Höfe,52.52416666666701,13.402222222221999,16527,Mitte,
Alexanderplatz,52.521666666667,13.413333333333002,118189,Mitte,
