wiki_name,lon,lat,views,roads
"Central, Hong Kong",22.281944444443997,114.15805555556001,92267,Man Kwong Street
Victoria Peak,22.275469444444,114.14382777778,141880,Mount Austin Road
Times Square (Hong Kong),22.278333333333002,114.18222222222,23705,Matheson Street
PMQ,22.283354,114.15186200000001,13973,Aberdeen Street
Victoria Harbour,22.287752777778,114.17361944443998,94816,Expo Drive
Causeway Bay,22.28066,114.18096000000001,58581,Gloucester Road
"Avenue of Stars, Hong Kong",22.293097222222,114.17476111111,49016,Salisbury Road
Wan Chai District,22.27968,114.17168000000001,25007,Gloucester Road
Hong Kong Coliseum,22.301480555556,114.18200833333,22277,Cheong Wan Road
Mong Kok,22.3225,114.17055555556001,73552,Bute Street
Sheung Wan,22.285239999999998,114.15138999999999,31695,Hillier Street
Grand Hyatt Hong Kong,22.281111111111002,114.17194444443999,12464,Harbour Road
Hong Kong–Macau Ferry Terminal,22.289372222222,114.15215277778,29577,Connaught Road Central
Hong Kong Baptist University,22.338888888889,114.18194444443998,33442,Renfrew Road
"SoHo, Hong Kong",22.282222222222,114.15277777778,15781,Graham Street
Kai Tak Cruise Terminal,22.3074,114.2128,22684,Shing Fung Road
Happy Valley Racecourse,22.272777777778,114.18222222222,26925,Wong Nai Chung Road
Sha Tin,22.375,114.18333333333,29673,Man Lai Road
Workers' Children Secondary School,22.3199,114.1788,1344,Princess Margaret Road
Man Mo Temple (Hong Kong),22.283982,114.15023899999998,20287,Hollywood Road
MegaBox (shopping mall),22.319802,114.20815,10771,Wang Chiu Road
The Peak Galleria,22.2703,114.1499,5223,Peak Road
Ten Thousand Buddhas Monastery,22.387580555556003,114.18481388889,38012,Tai Po Road
Madame Tussauds Hong Kong,22.271525,114.14984722222,30974,Old Peak Road
Olympian City,22.319444444444,114.15833333333,9763,Hoi Fai Road
Kwun Tong Promenade,22.3,114.2,2769,
"Macpherson Stadium, Hong Kong",22.318,114.1721,5971,Shantung Street
Cityplaza,22.285833333333002,114.21777777778,10651,Tai Koo Shing Road
Mid-Levels,22.28262,114.14261,21104,Robinson Road
Quarry Bay,22.28313,114.21278999999998,26685,Quarry Bay Street
Dragon Centre,22.331111111111003,114.15972222222,11486,Yen Chow Street
Lee Tung Street,22.275611111111,114.17230555556002,15479,Queen's Road East
The Mall at South Unionville Square,43.85722,-79.30335,1513,Kennedy Road
Kwun Tong District,22.31326,114.22581000000001,20274,Tung Yan Street
Telford Gardens,22.324722222222,114.21222222222,5270,Wai Yip Street
Hong Kong Science Museum,22.30102,114.17751000000001,13897,Science Museum Road
"Happy Valley, Hong Kong",22.266666666667,114.18333333333,32861,Village Terrace
Hollywood Road,22.284172,114.150201,12770,Hollywood Road
Yau Ma Tei,22.313010000000002,114.17053,25692,Waterloo Road
New Town Plaza,22.381947,114.188309,14675,Sha Tin Centre Street
Lee Garden,22.27869,114.18483,7544,Hysan Avenue
University of Hong Kong,22.284166666666998,114.13777777778,116055,Pok Fu Lam Road
Taikoo Place,22.285777777778,114.21113888889,13354,King's Road
Queen Elizabeth Stadium,22.275,114.17861111111,6550,Queen's Road East
Hysan Place,22.2798,114.1836,13669,Hennessy Road
Taikoo Shing,22.286335,114.21764399999999,21969,Tai Koo Shing Road
Fashion Walk,22.280452,114.18543600000001,288,Great George Street
Lin Heung Tea House,22.284294,114.153446,8882,Wellington Street
Kwai Chung Plaza,22.3575,114.12777777778,8695,Hing Fong Road
Hong Kong,22.3,114.2,4558159,
Windsor House (Hong Kong),22.2804,114.1865,356,Gloucester Road
Plaza Hollywood,22.34071,114.20206,6707,Lung Poon Street
Metroplaza,22.3575,114.12638888889,4848,Hing Fong Road
Kowloon City District,22.3282,114.19155,25369,South Wall Road
Wan Chai Sports Ground,22.281288,114.178022,5005,Tonnochy Road
Kowloon Bay,22.316666666667,114.2,29790,
Hong Kong Convention and Exhibition Centre,22.283661111111,114.17284722222,42416,Expo Drive
Peak Tower,22.271525,114.14984722222,15368,Old Peak Road
Graham Street,22.28278,114.15326,6651,Graham Street
Hung Hom,22.303829999999998,114.18297,23051,Metropolis Drive
Lyndhurst Terrace,22.28248,114.15421,5761,Lyndhurst Terrace
Kwai Tsing Theatre,22.356944444443997,114.12611111111,2100,Hing Ning Road
Goldfish Street,22.323194444444,114.16976944443998,863,Tung Choi Street
Southorn Playground,22.2769,114.1722,6660,Hennessy Road
Whampoa Garden,22.3039,114.1922,19268,Tak On Street
Nathan Road,22.309889000000002,114.17113300000001,32332,Nathan Road
Broadway Cinematheque,22.310701,114.168924,3366,Reclamation Street
Jockey Club Creative Arts Centre,22.3346,114.1656,5512,Pak Tin Street
The Excelsior (Hong Kong),22.282305555556,114.18411111111,14259,Gloucester Road
Kowloon Peninsula,22.316999999999997,114.18299999999999,39893,Fat Kwong Street
Hong Kong Heritage Museum,22.3771,114.1853,12859,Man Lam Road
Hong Kong Disneyland,22.313333333333002,114.04333333333,243799,
"Prince Edward, Hong Kong",22.3246,114.1673,8845,Ki Lung Street
Nan Lian Garden,22.339093,114.204774,15171,Fung Tak Road
Royal Hong Kong Yacht Club,22.284411,114.182121,10208,Hung Hing Road
King's Road (Hong Kong),22.28493,114.21802,7858,Kornhill Road Flyover
Golden Bauhinia Square,22.284266666666998,114.17375833333,21762,Expo Drive
Wan Chai Market,22.274607,114.17433999999999,7593,Wan Chai Road
Sham Shui Po District,22.33074,114.1622,14192,Cheung Sha Wan Road
Hong Kong Central Library,22.279963888888997,114.18952777778,8516,Causeway Road
Kowloon Bay station,22.3235,114.2141,20,Kwun Tong Road
Crowne Plaza Hong Kong Causeway Bay,22.27703,114.18271000000001,3152,Leighton Road
Hong Kong Arts Centre,22.280236,114.17083899999999,5784,Harbour Road
Kowloon Walled City Park,22.331999999999997,114.19,55668,Tung Tau Tsuen Road
Tai Hang,22.27444,114.19383,11924,Chun Fai Road
Prince Edward station (MTR),22.3245,114.1683,109,Nathan Road
Mong Kok station,22.3192,114.1694,20,Nathan Road
Shing Mun River,22.384781,114.196529,5152,Tai Chung Kiu Road
Mikiki,22.3337,114.1968,5602,Prince Edward Road East
Kwun Tong,22.315,114.225,25463,Mut Wah Street
One Island East,22.286055555556,114.21336111111,18713,Westlands Road
Hung Hom Ferry Pier,22.300420000000003,114.18933,5205,Wa Shun Street
