wiki_name,lat,lon,views,roads
Gorky Park (Moscow),55.728333333333,37.6,90321,улица Крымский Вал
Crocus City Hall,55.82583,37.390190000000004,11081,
Sokolniki Park,55.800555555556,37.669722222222,8718,5-й Лучевой просек
Moscow State University,55.7039,37.5286,195503,улица Ленинские Горы
Moscow,55.75,37.616666666667,1652726,Боровицкая улица
Moscow Zoo,55.761944444444,37.577222222222,17190,улица Грузинская Б.
Izmaylovsky Park,55.777,37.789,6994,
Tagansky District,55.741388888889,37.654166666666995,4418,улица Земляной Вал
"Krasnogorsk, Moscow Oblast",55.833333333332995,37.316666666667,18537,Парковая улица
Red Square,55.754166666667004,37.62,329378,Красная площадь
Lyublino District,55.675,37.766666666667,2538,Белореченская улица
Luzhniki Stadium,55.715988888889,37.553758333333,318360,улица Лужники
Golyanovo District,55.820555555556,37.807222222222,2476,Алтайская улица
Cathedral of Christ the Saviour,55.744444444444,37.605555555556,137944,улица Волхонка
Maryino District,55.765,37.691388888889,2153,"улица Красноказарменная улица , С6"
"Multimedia Art Museum, Moscow",55.7416,37.5987,2825,улица Остоженка
Vorobyovy Gory (Moscow Metro),55.7103,37.5592,7866,Лужнецкий мост
Kotelniki,55.65,37.85,4911,Дзержинское шоссе
Preobrazhenskaya Ploshchad,55.7963,37.7151,2560,Преображенская площадь
Cheryomushki District,55.664722222222004,37.560555555556,3098,Новочеремушкинская улица
Ulitsa 1905 Goda,55.765,37.5613,3797,1905 Года улица
Brateyevo District,55.633888888889,37.763611111111004,1452,Братеевская улица
Konkovo District,55.640833333333,37.528611111111005,1438,улица Миклухо-Маклая
VDNKh (Russia),55.829722222222,37.632222222222,48762,проспект Мира
Ostankino Tower,55.819722222222005,37.611666666667,168910,улица Академика Королева
Taganskaya (Tagansko–Krasnopresnenskaya line),55.7402,37.6522,42,Народная улица
Orekhovo-Borisovo Severnoye District,55.618333333333,37.7,1637,Шипиловская улица
RZD Arena,55.803611111111,37.741111111111,13166,улица Черкизовская Бол
Chertanovo Severnoye District,55.633333333333,37.6,1637,Сумской проезд
Cosmos Hotel,55.822222222222,37.647222222222,6483,проспект Мира
Beskudnikovsky District,55.865277777778,37.565,1682,Дубнинская улица
Poklonnaya Hill,55.731666666667,37.506666666667,20403,площадь Победы
Ochakovo-Matveyevskoye District,55.694166666667,37.443888888889,1547,улица Генерала Дорохова
Zyuzino District,55.65,37.583333333333,1224,улица Каховка
Sokolniki District,55.794722222222006,37.676388888889,3274,улица Сокольнический Вал
Mytishchi,55.916666666667005,37.766666666667,17247,улица Карла Маркса
Fallen Monument Park,55.732777777778,37.605277777778,30714,улица Крымский Вал
Biryulyovo Zapadnoye District,55.583333333332995,37.633333333333,1757,Мелитопольская улица
Khoroshyovo-Mnyovniki District,55.776944444444,37.469166666667,203,проспект Маршала Жукова
Akademichesky District,55.689722222222,37.573055555556,1560,проспект 60-летия Октября
Severnoye Izmaylovo District,55.808888888889,37.821388888889,1255,15-я Парковая улица
Slavyansky Bulvar,55.7296,37.4706,5961,Славянский бульвар
Timiryazevskaya (Serpukhovsko–Timiryazevskaya line),55.8176,37.5765,39,Дмитровское шоссе
Skolkovo Innovation Center,55.6975,37.357777777778004,28597,Большой бульвар
Kutuzovsky Prospekt,55.735555555556004,37.513055555556,9913,Кутузовский проспект
Patriarshy Bridge,55.74333000000001,37.60889,2391,Патриарший мост
Kuskovo,55.735277777777995,37.8075,13049,улица Юности
VEB Arena,55.791388888888996,37.516111111111,48223,3-я Песчаная улица
"Vidnoye, Moscow Oblast",55.55,37.716666666666995,8846,проспект Ленинского Комсомола
Semyonovskaya (Moscow Metro),55.7833,37.7208,2398,Семеновская площадь
Lotte Hotel Moscow,55.751111111111,37.584166666667,3540,Новинский бульвар
Maryina roshcha District,55.8,37.616666666667,2473,Шереметьевская улица
Partizanskaya (Moscow Metro),55.7886,37.7506,5379,Измайловское шоссе
Arbat District,55.751000000000005,37.59,6769,Большой Николопесковский переулок
Megasport Sport Palace,55.786666666667,37.540277777778,2150,Ходынский бульвар
Strelka Institute,55.742665,37.609086,5927,Берсеневская набережная
Sokolniki Exhibition and Convention Centre,55.799166666667006,37.674444444444,1447,улица Сокольнический Вал
Triumph Palace,55.798333333333,37.520833333333,23828,Чапаевский переулок
Sokol District,55.8,37.5,2290,улица Панфилова
Domodedovskaya,55.6108,37.7186,3048,Каширское шоссе
Novokuznetskaya,55.7415,37.6295,6758,Садовнический проезд
Fili-Davydkovo District,55.727777777777995,37.467222222222,1953,Славянский бульвар
Tretyakov Gallery,55.741388888889,37.620277777778,61003,Лаврушинский переулок
Tushinskaya,55.8267,37.4368,1698,проезд Стратонавтов
Gubkin Russian State University of Oil and Gas,55.692028,37.555325,12421,Ленинский проспект
Akademicheskaya (Moscow Metro),55.6877,37.5733,2673,улица Дмитрия Ульянова
Filyovsky park District,55.749444444443995,37.501388888889,1464,улица Большая Филевская
Pokrovskoye-Streshnevo District,55.821111111111,37.474166666666996,2119,
Perovo District,55.741388888889,37.774722222221996,1512,улица Лазо
Bolshoy Kamenny Bridge,55.746666666667004,37.612222222222,4728,Большой Каменный мост
Kiyevskaya (Koltsevaya line),55.7446,37.5644,112,площадь Киевского Вокзала
"Gagarinsky District, Moscow",55.703333333333,37.563055555556005,1629,Косыгина улица
Ministry of Foreign Affairs (Russia),55.746111111111,37.584166666667,40765,Смоленский бульвар
Shchukinskaya,55.8086,37.4641,1943,улица Маршала Василевского
Financial University under the Government of the Russian Federation,55.800256000000005,37.529274,11451,Ленинградский проспект
Voykovskaya (Moscow Metro),55.818999999999996,37.498000000000005,3069,Ленинградское шоссе
Voykovsky District,55.816666666667004,37.5,1279,Ленинградское шоссе
Polezhayevskaya,55.7775,37.5192,2120,Хорошевское шоссе
Moscow Aviation Institute,55.808,37.503,16103,Волоколамское шоссе
Moscow State University of Railway Engineering,55.787777777799995,37.6080555556,6913,улица Образцова
Moscow School of Management SKOLKOVO,55.6926638989,37.3854888989,668,новая улица
Chertanovskaya,55.6405,37.6067,1394,Чертановская улица
Krasnopresnenskaya,55.7613,37.5774,7332,Большая Грузинская улица
Moscow State Circus,55.694444444443995,37.54,22079,проспект Вернадского
Novogireyevo District,55.75,37.813333333333,1412,Союзный проспект
White House (Moscow),55.754934999999996,37.573146,64504,Краснопресненская набережная
Luzhniki Palace of Sports,55.72244,37.547525,8499,улица Лужники
Sokolinaya Gora District,55.769722222222,37.731111111111005,1607,проспект Буденного
Izmailovo Hotel,55.79,37.748055555556,21961,Измайловское шоссе
OKO,55.74957777777799,37.534358333333,18188,улица Тестовская
Naberezhnaya Tower,55.746666666667004,37.536944444443996,19571,Пресненская набережная
CSKA Ice Palace,55.794630555556004,37.538233333333004,7081,Ленинградский проспект
Taganka Theatre,55.743611111111,37.653888888889,4697,улица Высоцкого
Sokol (Moscow Metro),55.8051,37.5153,3260,Ленинградский проспект
Metrogorodok District,55.838611111111,37.748333333333,1313,Лосиноостровская улица
Barrikadnaya,55.7612,37.5795,2350,Большая Грузинская улица
Moscow State Pedagogical University,55.6583,37.4767,9202,проспект Вернадского
Shipilovskaya,55.6211,37.7437,1461,улица Мусы Джалиля
Mytishchinsky District,55.916666666667005,37.766666666667,2639,улица Карла Маркса
Mercury City Tower,55.750555555556005,37.539444444444,59270,1-й Красногвардейский проезд
Federation Tower,55.749769444444,37.537138888889,140253,Пресненская набережная
Kotelniki (Moscow Metro),55.6743,37.8582,2693,
Kropotkinskaya,55.7453,37.6037,9252,улица Волхонка
Shchyolkovskaya,55.8094,37.7986,2557,9-я Парковая улица
Moskva River,55.083333333332995,38.833333333333,61225,Голутвинская улица
Jewish Museum and Tolerance Center,55.789166666667,37.608055555556,6723,улица Образцова
Moscow State Linguistic University,55.73875400000001,37.594893,7966,улица Остоженка
Moskvorechye-Saburovo District,55.646388888889,37.649166666667,968,Москворечье улица
Preobrazhenskoye District,55.798055555556004,37.725833333333,2621,улица Большая Черкизовская
Golden Ring Hotel,55.74527777777799,37.580277777778,2036,Смоленская улица
City of Capitals,55.74722222222201,37.538888888889,34762,Пресненская набережная
Timiryazevsky District,55.819166666667,37.558611111111,1636,улица Вучетича
Natalya Sats Musical Theater,55.6963,37.544000000000004,2388,проспект Вернадского
Novospassky Monastery,55.731944444444,37.656666666667,7000,Крестьянская площадь
Vostochnoye Izmaylovo District,55.796388888889,37.817777777778,984,15-я Парковая улица
Square of Europe,55.7438,37.5694,3596,площадь Европы
Yakimanka District,55.731388888889,37.603888888888996,4366,улица Крымский Вал
Memorial Museum of Cosmonautics,55.82273299999999,37.63971,15277,проспект Мира
Zamoskvorechye District,55.73972222222201,37.625,6233,улица Большая Ордынка
Moscow Polytechnic University,55.7812,37.7116,1762,Большая Семеновская улица
Kapotnya District,55.641111111111,37.805277777778,1843,Капотня 2-й квартал
Alexander Gomelsky Universal Sports Hall CSKA,55.789230555556,37.542633333333,4862,Ленинградский проспект
Narkomfin building,55.757222222222005,37.581111111111,57491,Новинский бульвар
Russian Open,55.693999999999996,37.376999999999995,2474,новая улица
Leningradskoye Highway,55.844722222222,37.477222222222,2673,Ленинградское шоссе
Kashirskaya,55.6551,37.6487,2857,Каширское шоссе
Nizhny Novgorod,56.326944444443996,44.0075,320428,площадь Минина и Пожарского
