wiki_name,lon,lat,views,roads
Stadio della Roma,41.828722222222,12.425472222222,62643,
Colosseum,41.890277777778,12.492222222221999,2133252,Piazza del Colosseo
Panthéon,48.846111111111,2.3458333333333,322901,Place du Panthéon
Piazza Navona,41.898888888889,12.473055555556,200052,Piazza Navona
Spanish Steps,41.906027777778,12.482777777778,328490,Piazza di Spagna
Castel Gandolfo,41.746747222222,12.650586111111,75967,Piazza della Libertà
Piazza Venezia,41.896388888889,12.4825,89786,Piazza Venezia
Roman Forum,41.8922,12.4852,485531,Via della Salara Vecchia
Piazza del Popolo,41.910555555556,12.476388888889,95407,Piazza del Popolo
"Pantheon, Rome",41.8986,12.4768,1147785,Via della Minerva
St. Peter's Basilica,41.902222222222,12.453333333333001,989100,Via del Governatorato
Via dei Fori Imperiali,41.891944444444,12.489166666666998,20741,Via dei Fori Imperiali
MAXXI,41.928999999999995,12.466,47094,Via Guido Reni
Altare della Patria,41.894599,12.483092,227378,Via del Teatro di Marcello
Chiostro del Bramante,41.899918,12.471748,3479,Arco della Pace
Ponte Milvio,41.935555555556,12.466944444444001,27054,Ponte Milvio
Parco della Musica,41.929075,12.474557,14677,Viale De Coubertin Pietro
Castel Sant'Angelo,41.9031,12.4663,300875,Lungotevere Castello
"Orange Garden, Rome",41.8851,12.4804,15798,Piazza Pietro D'Illiria
Capitoline Museums,41.8928,12.4824,80025,Piazza del Campidoglio
Palatine Hill,41.888333333333,12.486944444444001,219482,Via di San Gregorio
Ponte Sant'Angelo,41.901666666667,12.466458333333001,60912,Ponte Sant'Angelo
Piazza di Spagna,41.90595,12.482058333333,60540,Piazza di Spagna
Capitoline Hill,41.893333333333004,12.483055555556,162152,Piazza del Campidoglio
Campo de' Fiori,41.8956,12.472166666666999,80826,Via del Pellegrino
Via del Corso,41.906027777778,12.478272222222,24191,Via del Corso
Circus Maximus,41.8859,12.4857,271936,Belvedere Romolo e Remo
Testaccio,41.876111111111,12.475,15461,Via Nicola Zabaglia
Arch of Constantine,41.889722222222,12.490833333333,147198,Piazza del Arco di Costantino
Pincian Hill,41.911666666666996,12.479722222222,22547,Viale degli Ippocastani
Roma Tiburtina railway station,41.910277777778,12.530833333333002,19225,Piazzale della Stazione Tiburtina
Rome,41.9,12.5,2049907,Via dei Sabelli
Bocca della Verità,41.888055555556,12.481666666667,112507,Piazza della Bocca della Verità
Ponte Sisto,41.892333333333,12.47075,13148,Piazza Trilussa
Villa Doria Pamphili,41.888000000000005,12.450999999999999,25229,Via Aurelia Antica
Villa Medici,41.908,12.482999999999999,54462,Viale della Trinità dei Monti
Sant'Antonio da Padova in Via Tuscolana,41.881455555556,12.520077777778,1209,Piazza Asti
Galleria Alberto Sordi,41.901055555556,12.4812,9136,Piazza Colonna
Parioli,41.932102777778,12.486819444444,8532,Via dei Campi Sportivi
Largo di Torre Argentina,41.895277777778,12.476944444444001,58352,Via di San Nicola de' Cesarini
Fontana dei Quattro Fiumi,41.898888888889,12.473055555556,93577,Piazza Navona
Via Condotti,41.9051,12.4805,21254,Via Bocca di Leone
Tiber Island,41.890833333333,12.477222222221998,34594,Via di Ponte Quattro capi
Pyramid of Cestius,41.876388888889,12.480833333333,66206,Piazzale Ostiense
Trevi Fountain,41.900875,12.483166666667,561619,Piazza di Trevi
Antico Caffè Greco,41.905558,12.481436,18465,Via dei Condotti
Foro Italico,41.930704999999996,12.456692,28255,Viale dei Gladiatori
Villa Lante,42.425833333333,12.154722222221999,24240,Via Jacopo Barozzi
Cinecittà,41.852013888889,12.577308333333,66050,Via Tuscolana
Metropolitan City of Rome Capital,41.893055555556,12.482777777778,18741,Piazza del Campidoglio
Doria Pamphilj Gallery,41.897669,12.481145,28244,Piazza Grazioli
Tiber,41.7405,12.2334,161072,Via Passo della Sentinella
Italian Open (tennis),41.929222222222,12.455961111111,144033,Viale dei Gladiatori
"Sant'Ignazio, Rome",41.898999999999994,12.479777777778,573,Piazza S. Ignazio
Via Margutta,41.908888888888995,12.479166666666998,8470,Via Margutta
Villa Borghese gardens,41.914166666667,12.492222222221999,92486,Piazzale Borghese Scipione
Ponte Umberto I,41.902777777778,12.471111111111,3348,Ponte Umberto I
Piazza della Rotonda,41.899305555556005,12.47675,15773,Piazza della Rotonda
San Luigi dei Francesi,41.899722222221996,12.474722222221999,34952,Via di S. Giovanna d'Arco
Ponte Vittorio Emanuele II,41.901111111111,12.464166666667,6073,Lungotevere dei Fiorentini
National Roman Museum,41.901252777778,12.498294444444001,39720,Largo di Villa Peretti
Trastevere,41.887222222222,12.465555555556,67145,Via Nicola Fabrizi
Ara Pacis,41.906388888889,12.475555555556,111879,Via di Ripetta
Stadio dei Marmi,41.934290000000004,12.45738,10424,Viale dello Stadio dei Marmi
Monte Sacro (quarter),41.933333333333,12.533333333333001,1875,Via Nomentana
Chamber of Deputies (Italy),41.901388888888995,12.478611111111,86269,Via del Parlamento
Università Cattolica del Sacro Cuore,45.463055555556004,9.1766666666667,28653,Piazza Sant'Ambrogio
San Pietro in Vincoli,41.893872222222,12.493069444444,67755,Via Eudossiana
Piazza della Minerva,41.898055555556,12.4775,9013,Piazza della Minerva
Via della Conciliazione,41.9023,12.462,18069,Via della Conciliazione
Temple of Hadrian,41.9,12.479444444444,22583,Piazza di Pietra
"Orto Botanico dell'Università di Roma ""La Sapienza""",41.891999999999996,12.464,7577,Largo Cristina di Svezia
Via Giulia,41.8942,12.4701,6687,Via Giulia
San Silvestro in Capite,41.903111111111,12.480638888889,14075,Piazza di San Silvestro
Torre Maura (Rome Metro),41.866915999999996,12.596878,1316,Via dell'Aquila Reale
Via del Babuino,41.908136999999996,12.479510000000001,4314,Vicolo dell'Orto di Napoli
Babington's tea room,41.906000000000006,12.4823,9721,Piazza di Spagna
RAI,41.917777777778,12.466388888889,92447,Viale Giuseppe Mazzini
Conca d'Oro (Rome Metro),41.939444444444,12.527777777778,3748,Piazza Conca d'Oro
Villa Farnesina,41.893611,12.4675,27281,Via della Lungara
Libia (Rome Metro),41.932777777778,12.520555555556,2457,Viale Libia
Piazza Colonna,41.901055555556,12.479916666666998,19282,Piazza Colonna
Fontana della Barcaccia,41.905833333333,12.482291666666999,23768,Piazza di Spagna
Janiculum,41.891666666667,12.461111111111,33093,Via G. Garibaldi
Teatro Adriano,41.9059,12.4698,1880,Piazza Camillo Benso Conte di Cavour
Monti Tiburtini (Rome Metro),41.915833333333,12.547777777778,1259,Via dei Monti Tiburtini
Sant'Andrea della Valle,41.895833333333,12.474444444444,26816,Piazza Vidoni
Portuense,41.85523870000001,12.452900999999999,1449,Viale Prospero Colonna
Santa Maria sopra Minerva,41.898055555556,12.478333333333001,53511,Piazza della Minerva
Bambino Gesù Hospital,41.8975,12.460833333333001,16851,Piazza di Sant'Onofrio
Libera Università Maria SS. Assunta,41.903055555556,12.462777777778001,4819,Borgo Sant'Angelo
University of Rome Tor Vergata,41.853611111111,12.603333333333001,26927,
Palazzo Braschi,41.8973,12.4729,5864,Piazza di San Pantaleo
Pietralata (Rome Metro),41.914722222222,12.555,1636,Via di Pietralata
Palazzo della Civiltà Italiana,41.836683333333,12.465308333333,43263,Quadrato della Concordia
Fontana delle Tartarughe,41.893888888888995,12.4775,11151,Piazza Mattei
Palazzo Venezia,41.896111111111004,12.481666666667,43280,Via del Plebiscito
Sant'Agnese in Agone,41.898888888889,12.4725,39111,Via di Santa Maria dell'Anima
Vatican Museums,41.906388888889,12.454444444444,188183,
Porta Furba - Quadraro (Rome Metro),41.8638,12.5483,1553,Via Tuscolana
Sant'Ivo alla Sapienza,41.898333333333,12.474444444444,25774,Corso del Rinascimento
Teatro Argentina,41.895583333333,12.476166666666998,11999,Via di Torre Argentina
San Lorenzo in Lucina,41.903416666667,12.478694444444,10425,Piazza di San Lorenzo in Lucina
Sant'Eustachio,41.898672,12.475715,8400,Via di S. Eustachio
Quattro Venti railway station,41.878611111111,12.458611111110999,1244,Viale dei Quattro Venti
Palazzo Spada,41.894027777778,12.471805555556,21024,Via Capo di Ferro
Santa Maria del Popolo,41.911389,12.476389,16790,Piazza del Popolo
Vatican City,41.903333333333,12.453333333333001,2005209,Via del Governatorato
John Cabot University,41.887777777778,12.467222222221999,22908,Via Goffredo Mameli
National Etruscan Museum,41.918375,12.477657,14247,Via di Villa Giulia
Villa Lante al Gianicolo,41.893094444443996,12.460697222221999,6063,Passeggiata del Gianicolo
Rome Urbe Airport,41.951944444443996,12.498888888889,9174,
Via di Ripetta,41.907227777778,12.475833333333002,2160,Via di Ripetta
San Carlo al Corso,41.905369444444,12.477916666667,9270,Largo dei Lombardi
Church of the Gesù,41.895833333333,12.479722222222,76892,Via degli Astalli
Anagnina (Rome Metro),41.842777777778004,12.586111111111,5388,Via Tuscolana
Istituto Europeo di Design,45.478055555556004,9.2275,13977,Piazza Leonardo da Vinci
Trajan's Forum,41.895555555556,12.485833333333002,65878,Via Quattro Novembre
"Palace of Justice, Rome",41.903611111111005,12.470833333333001,19911,Piazza dei Tribunali
Museo di Roma,41.8973,12.4729,8388,Piazza di San Pantaleo
Regia,41.891967,12.486595,27365,Via in Miranda
Monte Sacro,41.9408,12.5325,5451,Piazza Carnaro
Baths of Caracalla,41.879443888889,12.493056111110999,115781,
San Girolamo a Corviale,41.8526,12.4221,576,Via dei Buonvisi
Palazzo Farnese,41.894722222222,12.470833333333001,67333,Piazza Farnese
"Palazzo Corsini, Rome",41.893329,12.466586,13769,Via della Lungara
Vermicino,41.823611111111,12.6425,1265,Via di Passo Lombardo
Mausoleum of Augustus,41.906111111111,12.476388888889,98797,Via Mario Dè Fiori
Circo Massimo (Rome Metro),41.883611111111,12.488055555555999,3248,Via del Circo Massimo
Roman Ghetto,41.8924,12.4775,52742,Via del Tempio
Santa Sabina,41.884444444444,12.479722222222,49449,Piazza Pietro D'Illiria
Stadio Olimpico del Nuoto,41.929334000000004,12.457627,5229,Lungotevere Maresciallo Cadorna
Lake Bracciano,42.121111111111,12.231944444444,19596,
Theatre of Marcellus,41.891666666667,12.479166666666998,37301,Via di Monte Savello
"Sant'Agostino, Rome",41.900833333333004,12.474166666667,190,Piazza di S. Agostino
Arco di Travertino (Rome Metro),41.8659,12.5347,1919,Via dell'Arco di Travertino
Porta del Popolo,41.911563888889,12.475983333333001,10163,Piazza del Popolo
Via dei Coronari,41.900777777778,12.469583333333,4213,Via dei Coronari
