wiki_name,lat,lon,views,suburb,roads
Saint Petersburg,59.9375,30.308611111111002,2227236,,Адмиралтейский проезд
Hermitage Museum,59.941,30.3151,333937,,Дворцовая набережная
Winter Palace,59.9404,30.3139,327275,,Шуваловский проезд
Peterhof Palace,59.883333333333,29.9,162386,Заячий Ремиз,Прудовая улица
Saint Petersburg State University,59.942,30.299,116774,,Филологический переулок
Russian cruiser Aurora,59.955277777777994,30.338055555556,108257,Петроградская сторона,Петроградская набережная
Peter and Paul Fortress,59.95,30.316999999999997,100639,,Петропавловская крепость
Saint Isaac's Cathedral,59.9341,30.3062,94056,,Малая Морская улица
Leningrad Oblast,60.05,31.75,83512,,
Bronze Horseman,59.9364,30.3022,74029,,Адмиралтейская набережная
Neva River,59.963888888888995,30.222222222221998,58092,,
Mariinsky Theatre,59.925555555556,30.296111111111003,57805,,Театральная площадь
Nevsky Prospect,59.9318,30.3527,42388,,Невский проспект
Petrovsky Stadium,59.951944444443996,30.286388888888997,39564,,
Palace Square,59.939166666667006,30.315833333333,36733,,Дворцовая площадь
Kunstkamera,59.941666666667004,30.304444444443998,33306,Коломна,Университетская набережная
ITMO University,59.9564,30.31,31439,Петроградская сторона,Кронверкский проспект
"Saints Peter and Paul Cathedral, Saint Petersburg",59.9502,30.3164,29922,,Петропавловская крепость
Imperial Academy of Arts,59.937509999999996,30.29022,27593,,Университетская набережная
Saint Petersburg Mosque,59.955247,30.323896,24676,Петроградская сторона,Кронверкский проспект
Finland Station,59.955555555556,30.356666666667,23383,Выборгская сторона,
Saint Petersburg Conservatory,59.926,30.2982,22708,,
Alexander Column,59.939166666667006,30.315833333333,21834,,Дворцовая площадь
National Library of Russia,59.933611111111,30.335555555556002,20415,Апраксин двор,Садовая улица
Hotel Astoria (Saint Petersburg),59.933,30.309,20050,,Большая Морская улица
Kirov Plant,59.878655,30.258429,20029,,проспект Стачек
"Admiralty building, Saint Petersburg",59.937601,30.308576000000002,19611,,Адмиралтейский проезд
Vasilyevsky Island,59.94,30.26,18980,,Средний проспект В.О.
General Staff Building (Saint Petersburg),59.9381,30.3172,18192,,
"Trinity Cathedral, Saint Petersburg",59.916111111111,30.305833333333002,15658,Коломна,
Stroganov Palace,59.935742000000005,30.320774,15194,Апраксин двор,Невский проспект
Mariinsky Palace,59.930833333333,30.309444444443997,13902,,набережная реки Мойки
First Pavlov State Medical University of St. Petersburg,59.9667,30.3167,13011,Петроградская сторона,улица Льва Толстого
New Holland Island,59.928999999999995,30.29,12981,,набережная Адмиралтейского канала
Krestovsky Island,59.97,30.26,12565,Острова,Рюхина улица
Palace Embankment,59.94123199999999,30.312628999999998,12261,,Дворцовая набережная
Palace Bridge,59.941148999999996,30.308104999999998,11657,,Дворцовый мост
Yubileyny Sports Palace,59.950277777778,30.291944444444,11302,Петроградская сторона,проспект Добролюбова
Grand Choral Synagogue,59.925,30.291999999999998,10584,Коломна,улица Декабристов
Old Saint Petersburg Stock Exchange and Rostral Columns,59.943333333332994,30.304444444443998,10399,Апраксин двор,Биржевая площадь
Yelagin Palace,59.9793,30.27,10285,Острова,1-й Елагин мост
Chesme Church,59.856666666667,30.330833333333,10096,Средняя Рогатка,улица Ленсовета
Herzen University,59.933888888889,30.319444444444,10071,Апраксин двор,набережная реки Мойки
Hermitage Theatre,59.942614,30.317794,9918,,Шуваловский проезд
Tekhnologichesky Institut (Saint Petersburg Metro),59.916388888888996,30.318611111111004,9632,Апраксин двор,Московский проспект
Big port Saint Petersburg,59.880555555556,30.199166666666997,9169,Турухтанные острова,дорога в Угольную гавань
"Military Historical Museum of Artillery, Engineers and Signal Corps",59.9539,30.3138,8800,Петроградская сторона,
Sennaya Square,59.927,30.318,8654,,Сенная площадь
Fontanka River,59.916666666667005,30.278333333333002,8628,Коломна,площадь Репина
Saint Petersburg Botanical Garden,59.97,30.324,8283,,улица Профессора Попова
Avtovo (Saint Petersburg Metro),59.867325,30.261352777778,8225,Автово,проспект Стачек
St. Nicholas Naval Cathedral,59.922222222222004,30.300277777778,7929,Коломна,набережная канала Грибоедова
Monument to Nicholas I,59.931944444444,30.308333333333,7901,,Малая Морская улица
Moyka River,59.926666666667,30.276111111111003,7301,Коломна,набережная реки Мойки
Saint Petersburg Sports and Concert Complex,59.869166666667006,30.341944444444,7007,,проспект Юрия Гагарина
Menshikov Palace (Saint Petersburg),59.93899999999999,30.296,6869,,Университетская набережная
S.M. Kirov Military Medical Academy,59.957221999999994,30.350833,6536,Выборгская сторона,Клиническая улица
Twelve Collegia,59.9416,30.2993,6301,,Филологический переулок
Zoological Museum of the Zoological Institute of the Russian Academy of Sciences,59.9426,30.3056,5944,Апраксин двор,Университетская набережная
Angleterre Hotel,59.9334,30.3086,5897,,Малая Морская улица
"Trinity Bridge, Saint Petersburg",59.948611111111,30.328888888888997,5702,Петроградская сторона,Троицкий мост
Saint Petersburg State Pediatric Medical University,59.977447,30.340325,5539,Выборгская сторона,Кантемировская улица
Baltic State Technical University,59.9164,30.3167,5485,Апраксин двор,1-я Красноармейская улица
