wiki_name,lon,lat,views,roads
Arsenal Stadium (Tula),54.174583333333,37.602722222222,13240,Prospekt Lenina
Tula Kremlin,54.195277777778,37.62,4077,Mendeleyevskaya Ulitsa
Yasnaya Polyana,54.076111111111,37.526111111111,50431,улица Ясная Поляна деревня
List of Costa Brava films,None,None,7963,
Sergey Semenov (wrestler),None,None,3643,
Battle of Moscow,55.75,37.633333333333,415142,Kitaygorodskiy Proyezd
Tula Arms Plant,54.200555555556,37.614833333333,46498,Ulitsa Sovetskaya
Alexey Goloborodko,None,None,21813,
Nicholas-Zaretsky Church,None,None,1567,
1000,None,None,98746,
Volcanic Tongue,None,None,1947,
Tula,None,None,46616,
